,Reviews,Ratings
0,Terrific,5
1,Brilliant,5
2,Delightful,4
3,Awesome,5
4,Best in the market!,5
5,Worth the money,4
6,Awesome,5
7,Pretty good,4
8,Best in the market!,5
9,Perfect product!,5
10,Simply awesome,5
11,Just wow!,5
12,Wonderful,4
13,Just wow!,5
14,Worth every penny,5
15,Wonderful,5
16,Not recommended at all,1
17,Good quality product,4
18,Terrific purchase,5
19,Worth the money,4
20,Nice product,4
21,Just okay,3
22,Terrific purchase,5
23,Best in the market!,5
24,Brilliant,5
25,Value-for-money,4
26,Nice product,4
27,Wonderful,5
28,Not recommended at all,1
29,Worth every penny,5
30,Slightly disappointed,2
31,Good choice,4
32,Classy product,5
33,Classy product,5
34,Really Nice,4
35,Fabulous!,5
36,Highly recommended,5
37,Really Nice,4
38,Classy product,5
39,Good,3
40,Best in the market!,5
41,Brilliant,5
42,Good choice,4
43,Wonderful,4
44,Wonderful,4
45,Excellent,5
46,Pretty good,4
47,Mind-blowing purchase,5
48,Just wow!,5
49,Simply awesome,5
50,Fabulous!,5
51,Good choice,4
52,Mind-blowing purchase,5
53,Terrific,5
54,Just wow!,5
55,Just wow!,5
56,Perfect product!,5
57,Nice product,4
58,Worth every penny,5
59,Nice product,4
60,Highly recommended,5
61,Wonderful,4
62,Brilliant,5
63,Mind-blowing purchase,5
64,Good quality product,4
65,Must buy!,5
66,Pretty good,4
67,Really Nice,4
68,Don't waste your money,1
69,Just wow!,5
70,Terrific,5
71,Terrific,5
72,Best in the market!,5
73,Terrific purchase,5
74,Just wow!,5
75,Good quality product,4
76,Super!,5
77,Good quality product,4
78,Awesome,5
79,Fair,3
80,Awesome,5
81,Could be way better,2
82,Wonderful,4
83,Good,3
84,Could be way better,2
85,Simply awesome,5
86,Decent product,3
87,Good quality product,4
88,Really Nice,4
89,Fabulous!,5
90,Wonderful,5
91,Perfect product!,5
92,Very Good,4
93,Does the job,3
94,Perfect product!,5
95,Terrific purchase,5
96,Simply awesome,5
97,Terrific purchase,5
98,Must buy!,5
99,Did not meet expectations,1
100,Super!,5
101,Fair,3
102,Does the job,3
103,Really Nice,4
104,Terrific purchase,5
105,Good choice,4
106,Pretty good,4
107,Great product,5
108,Fair,3
109,Good quality product,4
110,Must buy!,5
111,Super!,5
112,Really Nice,4
113,Delightful,4
114,Nice product,4
115,Pretty good,4
116,Awesome,5
117,Excellent,5
118,Brilliant,5
119,Terrific purchase,5
120,Super!,5
121,Good,3
122,Delightful,4
123,Mind-blowing purchase,5
124,Good choice,4
125,Fabulous!,5
126,Perfect product!,5
127,Mind-blowing purchase,5
128,Simply awesome,5
129,Excellent,5
130,Just wow!,5
131,Awesome,5
132,Really Nice,4
133,Does the job,3
134,Worth every penny,5
135,Just wow!,5
136,Just wow!,5
137,Terrific purchase,5
138,Super!,5
139,Best in the market!,5
140,Highly recommended,5
141,Useless product,1
142,Highly recommended,5
143,Nice,3
144,Awesome,5
145,Highly recommended,5
146,Good choice,4
147,Super!,5
148,Just wow!,5
149,Good,3
150,Highly recommended,5
151,Super!,5
152,Nice,3
153,Must buy!,5
154,Fabulous!,5
155,Really Nice,4
156,Fabulous!,5
157,Awesome,5
158,Brilliant,5
159,Fabulous!,5
160,Really Nice,4
161,Classy product,5
162,Utterly Disappointed,1
163,Fabulous!,5
164,Best in the market!,5
165,Wonderful,4
166,Mind-blowing purchase,5
167,Pretty good,4
168,Just wow!,5
169,Don't waste your money,1
170,Classy product,5
171,Wonderful,4
172,Very poor,1
173,Awesome,5
174,Excellent,5
175,Fabulous!,5
176,Nice,3
177,Very Good,4
178,Classy product,5
179,Utterly Disappointed,1
180,Don't waste your money,1
181,Delightful,4
182,Nice,3
183,Useless product,1
184,Very poor,1
185,Value-for-money,4
186,Absolute rubbish!,1
187,Hated it!,1
188,Must buy!,5
189,Brilliant,5
190,Simply awesome,5
191,Perfect product!,5
192,Awesome,5
193,Just wow!,5
194,Utterly Disappointed,1
195,Terrific,5
196,Nice product,4
197,Absolute rubbish!,1
198,Not recommended at all,1
199,Absolute rubbish!,1
200,Does the job,3
201,Worst experience ever!,1
202,Delightful,4
203,Good choice,4
204,Fabulous!,5
205,Very Good,4
206,Useless product,1
207,Utterly Disappointed,1
208,Good quality product,4
209,Very Good,4
210,Really Nice,4
211,Just wow!,5
212,Unsatisfactory,1
213,Very poor,1
214,Just wow!,5
215,Fabulous!,5
216,Very poor,1
217,Very Good,4
218,Wonderful,4
219,Useless product,1
220,Horrible,1
221,Horrible,1
222,Absolute rubbish!,1
223,Very poor,1
224,Terrible product,1
225,Wonderful,4
226,Highly recommended,5
227,Must buy!,5
228,Great product,5
229,Classy product,5
230,Don't waste your money,1
231,Unsatisfactory,1
232,Absolute rubbish!,1
233,Could be way better,2
234,Brilliant,5
235,Highly recommended,5
236,Good,3
237,Terrific purchase,5
238,Unsatisfactory,1
239,Good choice,4
240,Nice product,4
241,Slightly disappointed,2
242,Worth every penny,5
243,Excellent,5
244,Brilliant,5
245,Terrific purchase,5
246,Fabulous!,5
247,Very poor,1
248,Moderate,2
249,Terrific,5
250,Brilliant,5
251,Unsatisfactory,1
252,Best in the market!,5
253,Nice,3
254,Super!,5
255,Value-for-money,4
256,Absolute rubbish!,1
257,Nice,3
258,Great product,5
259,Good,3
260,Did not meet expectations,1
261,Terrific,5
262,Excellent,5
263,Nice product,4
264,Good quality product,4
265,Good quality product,4
266,Excellent,5
267,Excellent,5
268,Nice product,4
269,Classy product,5
270,Just okay,3
271,Just okay,3
272,Very Good,4
273,Don't waste your money,1
274,Classy product,5
275,Expected a better product,2
276,Not good,2
277,Nice,3
278,Bad quality,2
279,Must buy!,5
280,Mind-blowing purchase,5
281,Awesome,5
282,Simply awesome,5
283,Good quality product,4
284,Worthless,1
285,Horrible,1
286,Brilliant,5
287,Worst experience ever!,1
288,Not good,2
289,Super!,5
290,Highly recommended,5
291,Wonderful,4
292,Does the job,3
293,Mind-blowing purchase,5
294,Just okay,3
295,Super!,5
296,Terrific purchase,5
297,Bad quality,2
298,Worth every penny,5
299,Super!,5
300,Horrible,1
301,Terrific purchase,5
302,Good quality product,4
303,Highly recommended,5
304,Hated it!,1
305,Awesome,5
306,Excellent,5
307,Worth every penny,5
308,Classy product,5
309,Fabulous!,5
310,Terrific,5
311,Decent product,3
312,Awesome,5
313,Excellent,5
314,Good choice,4
315,Does the job,3
316,Does the job,3
317,Terrible product,1
318,Wonderful,4
319,Really Nice,4
320,Don't waste your money,1
321,Must buy!,5
322,Really Nice,4
323,Awesome,5
324,Very poor,1
325,Decent product,3
326,Horrible,1
327,Super!,5
328,Useless product,1
329,Unsatisfactory,1
330,Horrible,1
331,Expected a better product,2
332,Could be way better,2
333,Not good,2
334,Useless product,1
335,Worst experience ever!,1
336,Useless product,1
337,Terrible product,1
338,Good choice,4
339,Don't waste your money,1
340,Moderate,2
341,Could be way better,2
342,Moderate,2
343,Horrible,1
344,Moderate,2
345,Expected a better product,2
346,Not recommended at all,1
347,Moderate,2
348,Not recommended at all,1
349,Worst experience ever!,1
350,Utterly Disappointed,1
351,Moderate,2
352,Terrible product,1
353,Wonderful,4
354,Must buy!,5
355,Good,3
356,Waste of money!,1
357,Highly recommended,5
358,Fair,3
359,Just wow!,5
360,Wonderful,5
361,Highly recommended,5
362,Utterly Disappointed,1
363,Could be way better,2
364,Does the job,3
365,Worst experience ever!,1
366,Good quality product,4
367,Must buy!,5
368,Value-for-money,4
369,Slightly disappointed,2
370,Fabulous!,5
371,Wonderful,5
372,Just wow!,5
373,Terrific purchase,5
374,Just wow!,5
375,Nice,3
376,Must buy!,5
377,Best in the market!,5
378,Good choice,4
379,Excellent,5
380,Excellent,5
381,Worst experience ever!,1
382,Don't waste your money,1
383,Slightly disappointed,2
384,Good,3
385,Worth every penny,5
386,Mind-blowing purchase,5
387,Great product,5
388,Very Good,4
389,Best in the market!,5
390,Terrific purchase,5
391,Great product,5
392,Highly recommended,5
393,Fabulous!,5
394,Don't waste your money,1
395,Moderate,2
396,Did not meet expectations,1
397,Best in the market!,5
398,Expected a better product,2
399,Excellent,5
400,Great product,5
401,Value-for-money,4
402,Terrible product,1
403,Fair,3
404,Simply awesome,5
405,Not good,2
406,Just wow!,5
407,Good choice,4
408,Fair,3
409,Not recommended at all,1
410,Bad quality,2
411,Good choice,4
412,Super!,5
413,Worth every penny,5
414,Fair,3
415,Simply awesome,5
416,Nice product,4
417,Classy product,5
418,Really Nice,4
419,Classy product,5
420,Expected a better product,2
421,Not good,2
422,Does the job,3
423,Does the job,3
424,Awesome,5
425,Very Good,4
426,Great product,5
427,Fair,3
428,Did not meet expectations,1
429,Slightly disappointed,2
430,Awesome,5
431,Just okay,3
432,Worth every penny,5
433,Nice,3
434,Not good,2
435,Super!,5
436,Decent product,3
437,Bad quality,2
438,Good quality product,4
439,Nice,3
440,Terrific purchase,5
441,Slightly disappointed,2
442,Simply awesome,5
443,Waste of money!,1
444,Worth the money,4
445,Expected a better product,2
446,Terrific purchase,5
447,Absolute rubbish!,1
448,Fair,3
449,Awesome,5
450,Bad quality,2
451,Expected a better product,2
452,Worth the money,4
453,Useless product,1
454,Great product,5
455,Slightly disappointed,2
456,Worth the money,4
457,Just okay,3
458,Wonderful,5
459,Did not meet expectations,1
460,Does the job,3
461,Fair,3
462,Horrible,1
463,Terrific purchase,5
464,Absolute rubbish!,1
465,Wonderful,4
466,Perfect product!,5
